,clientID,client_lr,client_mom,batch_size,loss,accuracy
72,1,0.5918367346938775,0.9473684210526315,16,0.0008359804633073,0.9952380657196044
79,1,0.1836734693877551,0.9999999999999999,16,0.0010514361783862,0.9952380657196044
73,1,0.5918367346938775,0.9999999999999999,32,0.0009410932543687,0.994709014892578
74,1,1.0,0.9473684210526315,16,0.0011043645208701,0.994179904460907
80,1,0.5918367346938775,0.9473684210526315,32,0.0013037632452324,0.9936507940292358
75,1,1.0,0.9999999999999999,32,0.0012910680379718,0.9925925731658936
81,1,1.0,0.9473684210526315,32,0.0012538919690996,0.9925925731658936
83,1,0.12244897959183676,0.9999999999999999,16,0.001551434630528,0.991534411907196
76,1,0.163265306122449,0.9999999999999999,16,0.001701429951936,0.9904761910438538
77,1,1.0,0.631578947368421,16,0.0021853419020771,0.9873015880584716
