,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
58,05/24/21-001441,05/24/21-002236,475.5558080673218,34,0.013494088314473629,0.9145668148994446,0.8982481360435486,0.9397439360618591,0.03146979957818985,0.7971727252006531,0.7824216485023499,0.8219200372695923,relu,32,0.07,0.9,50
9,05/23/21-191822,05/23/21-192734,552.3548645973206,21,0.020605558529496193,0.8586512804031372,0.8269738554954529,0.9072002172470093,0.030361490324139595,0.7931007742881775,0.759181022644043,0.8388370275497437,relu,16,0.03,0.95,50
23,05/23/21-211156,05/23/21-212108,552.3512275218964,21,0.015566755086183548,0.8999280333518982,0.877129852771759,0.927900493144989,0.031555596739053726,0.790988028049469,0.7657114267349243,0.827782392501831,relu,16,0.1,0.9,50
108,05/24/21-024815,05/24/21-025200,224.97804188728333,23,0.01531419437378645,0.9014878869056702,0.8820494413375854,0.9276880621910095,0.03267507255077362,0.7886831760406494,0.7717809081077576,0.8164418339729309,relu,64,0.3,0.9,50
77,05/24/21-014300,05/24/21-014916,375.99742245674133,25,0.014554726891219616,0.9022078514099121,0.8864890933036804,0.93129962682724,0.03411249816417694,0.7839581966400146,0.769476056098938,0.8066607713699341,relu,32,0.7,0.6,50
32,05/23/21-222722,05/23/21-223557,514.956315279007,18,0.018362486734986305,0.8768898248672485,0.8538516759872437,0.913244366645813,0.03427525982260704,0.7837661504745483,0.7680162787437439,0.8089746832847595,relu,16,0.5,0.6,50
72,05/24/21-011840,05/24/21-012340,299.7470645904541,19,0.017629344016313553,0.885289192199707,0.8596112132072449,0.9184615612030029,0.033311840146780014,0.7836124897003174,0.7616779208183289,0.8150949478149414,relu,32,0.5,0.6,50
35,05/23/21-224413,05/23/21-225426,613.2766139507294,21,0.016706572845578194,0.8891288638114929,0.8684905171394348,0.9227434992790222,0.033236488699913025,0.7821143269538879,0.7633297443389893,0.8134185075759888,relu,16,0.7,0.0,50
54,05/24/21-000239,05/24/21-000751,312.8227436542511,20,0.019764410331845284,0.8666906356811523,0.8351331949234009,0.9160305261611938,0.032724395394325256,0.7807698249816895,0.7535725235939026,0.8223088383674622,relu,32,0.05,0.95,50
68,05/24/21-010248,05/24/21-010713,265.4897150993347,17,0.020540153607726097,0.8618910312652588,0.8294936418533325,0.9067418575286865,0.03387987241148949,0.7770436406135559,0.7481561303138733,0.8185256719589233,relu,32,0.3,0.9,50
24,05/23/21-212110,05/23/21-212902,472.101304769516,17,0.023622673004865646,0.8434125185012817,0.8167746663093567,0.8856362104415894,0.03395691141486168,0.7757375240325928,0.7464658617973328,0.8229713439941406,relu,16,0.1,0.95,50
99,05/24/21-023026,05/24/21-023429,242.5196442604065,26,0.018970614299178123,0.8729301691055298,0.8420926332473755,0.9163076281547546,0.03387710824608803,0.7733942866325378,0.7432006597518921,0.8157439827919006,relu,64,0.07,0.95,50
13,05/23/21-193745,05/23/21-194811,626.3552114963531,24,0.015320314094424248,0.8990880846977234,0.8798896074295044,0.9322400093078613,0.035764023661613464,0.7694376111030579,0.7517670392990112,0.7985147833824158,relu,16,0.05,0.9,50
66,05/24/21-004906,05/24/21-005645,458.5105893611908,32,0.018127422779798508,0.8839693069458008,0.852051854133606,0.9299371242523193,0.03496568650007248,0.7683620452880859,0.7417024970054626,0.8065499663352966,relu,32,0.3,0.3,50
36,05/23/21-225428,05/23/21-230406,577.9541974067688,21,0.01682698167860508,0.8915286660194397,0.8746100068092346,0.9183570742607117,0.036479610949754715,0.7669790983200073,0.7510371804237366,0.7936913967132568,relu,16,0.7,0.3,50
76,05/24/21-013751,05/24/21-014258,307.3234717845917,19,0.01826024241745472,0.8807295560836792,0.8537316918373108,0.9190132021903992,0.03501976653933525,0.766287624835968,0.736247718334198,0.8051926493644714,relu,32,0.7,0.3,50
30,05/23/21-220746,05/23/21-221845,659.2317836284637,25,0.016868045553565025,0.8927285671234131,0.8671706318855286,0.9242870211601257,0.036272358149290085,0.7660955786705017,0.7465043067932129,0.7969570159912109,relu,16,0.5,0.0,50
53,05/23/21-235513,05/24/21-000237,443.98228669166565,29,0.019376209005713463,0.8706503510475159,0.8401727676391602,0.9155334830284119,0.034926220774650574,0.7648279070854187,0.7341349124908447,0.8102000951766968,relu,32,0.05,0.9,50
109,05/24/21-025203,05/24/21-025431,148.50911617279053,14,0.02469363994896412,0.8316534757614136,0.7960163354873657,0.8859508633613586,0.03575638681650162,0.763752281665802,0.7346727252006531,0.8072685599327087,relu,64,0.3,0.95,50
22,05/23/21-205856,05/23/21-211154,778.719496011734,30,0.01991470716893673,0.8689704537391663,0.8380129337310791,0.9137772917747498,0.03596429526805878,0.7611017227172852,0.7324062585830688,0.8027113676071167,relu,16,0.1,0.6,50
21,05/23/21-204517,05/23/21-205854,817.4960858821869,32,0.021812578663229942,0.8548116087913513,0.8077753782272339,0.9154201745986938,0.03514869511127472,0.7605255246162415,0.7185771465301514,0.819073498249054,relu,16,0.1,0.3,50
75,05/24/21-013112,05/24/21-013748,395.51888394355774,27,0.01742072030901909,0.8834893107414246,0.860211193561554,0.9226512312889099,0.03718620166182518,0.7584127187728882,0.7359787821769714,0.7921852469444275,relu,32,0.7,0.0,50
59,05/24/21-002238,05/24/21-002838,359.6163637638092,22,0.019974209368228912,0.8681305646896362,0.8401727676391602,0.9071123003959656,0.03693419322371483,0.7573371529579163,0.7340964674949646,0.7925843000411987,relu,32,0.07,0.95,50
117,05/24/21-032145,05/24/21-032501,196.06443643569946,18,0.022281737998127937,0.8503719568252563,0.8104151487350464,0.9073079228401184,0.03639969229698181,0.7514597177505493,0.7173863053321838,0.8011927008628845,relu,64,0.7,0.6,50
4,05/23/21-184128,05/23/21-185317,708.6803503036499,28,0.02239334210753441,0.8480921387672424,0.8078953623771667,0.9098648428916931,0.03754939138889313,0.7455823421478271,0.7054010629653931,0.8026488423347473,relu,16,0.01,0.95,50
112,05/24/21-030332,05/24/21-030739,246.58824849128723,25,0.01877554878592491,0.874250054359436,0.8428125977516174,0.9222689270973206,0.037182845175266266,0.7455055117607117,0.7093192934989929,0.7971765398979187,relu,64,0.5,0.6,50
19,05/23/21-203342,05/23/21-204146,484.27628779411316,19,0.024507172405719757,0.8344132304191589,0.8000959753990173,0.8832957744598389,0.03923753648996353,0.739551305770874,0.7125461101531982,0.7810763120651245,relu,16,0.07,0.95,50
25,05/23/21-212904,05/23/21-213953,648.476968050003,24,0.024003006517887115,0.8390928506851196,0.7957763671875,0.9015769362449646,0.03871912881731987,0.736094057559967,0.6955285668373108,0.7961130738258362,relu,16,0.3,0.0,50
18,05/23/21-202453,05/23/21-203340,527.2433862686157,20,0.022909028455615044,0.8422126173973083,0.804775595664978,0.8990616798400879,0.03982679545879364,0.7352105379104614,0.7008681893348694,0.7816382646560669,relu,16,0.07,0.9,50
118,05/24/21-032501,05/24/21-032848,226.432466506958,22,0.024819768965244293,0.832133412361145,0.7985361218452454,0.8847380876541138,0.04128275811672211,0.7332513928413391,0.705708384513855,0.7764909863471985,relu,64,0.7,0.9,50
114,05/24/21-031105,05/24/21-031357,171.53145027160645,16,0.03533277288079262,0.7674586176872253,0.7261819243431091,0.8312045335769653,0.042159922420978546,0.7304087281227112,0.7004072070121765,0.7810238003730774,relu,64,0.5,0.95,50
37,05/23/21-230408,05/23/21-231457,648.5174589157104,23,0.026126235723495483,0.8257739543914795,0.7903767824172974,0.870030403137207,0.04079020023345947,0.7304087281227112,0.6986401081085205,0.7792536020278931,relu,16,0.7,0.6,50
63,05/24/21-003510,05/24/21-004030,320.48600721359253,21,0.02614569664001465,0.8206143379211426,0.7756179571151733,0.8826983571052551,0.039951954036951065,0.7274892330169678,0.6858481764793396,0.786727786064148,relu,32,0.1,0.9,50
26,05/23/21-213954,05/23/21-214930,575.6496098041534,21,0.023191232234239578,0.8411327004432678,0.801055908203125,0.9048522710800171,0.04023211821913719,0.7259910702705383,0.6873079538345337,0.7832596302032471,relu,16,0.3,0.3,50
