,clientID,client_lr,client_mom,batch_size,loss,accuracy
1115,14,0.1836734693877551,0.9473684210526315,16,0.0161426253616809,0.8954900503158569
1112,14,0.1836734693877551,0.9999999999999999,32,0.0169033072888851,0.888985276222229
1116,14,0.04081632653061224,0.9999999999999999,16,0.0191958360373973,0.8703382611274719
1113,14,1.0,0.3157894736842105,16,0.0226759873330593,0.8473547101020813
1118,14,0.0816326530612245,0.9999999999999999,16,0.0237960573285818,0.8443191647529602
1119,14,0.1836734693877551,0.9999999999999999,16,0.0277496799826622,0.8178664445877075
1123,14,0.5918367346938775,0.9473684210526315,32,0.0270948857069015,0.813096284866333
1122,14,0.12244897959183676,0.9999999999999999,16,0.0281572230160236,0.8117952942848206
1114,14,1.0,0.0,16,0.0280733406543731,0.8096270561218262
1121,14,0.1836734693877551,0.9473684210526315,32,0.0283580236136913,0.8031222820281982
