,clientID,client_lr,client_mom,batch_size,loss,accuracy
262,3,1.0,0.631578947368421,16,0.0161166675388813,0.8952981233596802
245,3,1.0,0.3157894736842105,16,0.0179145410656929,0.8793019652366638
240,3,0.1836734693877551,0.9473684210526315,16,0.0186597593128681,0.8773630857467651
232,3,0.5918367346938775,0.631578947368421,16,0.0194794945418834,0.8700920939445496
238,3,0.0816326530612245,0.9999999999999999,16,0.0202239397913217,0.8676684498786926
235,3,0.1836734693877551,0.9473684210526315,32,0.0206418614834547,0.8662142753601074
251,3,1.0,0.0,16,0.0201036743819713,0.864275336265564
241,3,1.0,0.631578947368421,32,0.0199535321444273,0.863548219203949
255,3,0.12244897959183676,0.9999999999999999,16,0.0204250141978263,0.8628211617469788
242,3,0.163265306122449,0.9473684210526315,16,0.0208987277001142,0.8608822226524353
