,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
78,06/15/21-030520,06/15/21-030533,12.869771003723145,30,0.00031239198870025575,0.9981308579444885,0.9981308579444885,0.9987531304359436,0.00490036653354764,0.9720670580863953,0.9720670580863953,0.9720670580863953,relu,32,0.5,0.9,30
38,06/15/21-025646,06/15/21-025710,24.122108459472656,30,0.00012698803038801998,0.9993769526481628,0.9993769526481628,0.9993769526481628,0.004436205141246319,0.9720670580863953,0.9720670580863953,0.9720670580863953,relu,16,0.5,0.9,30
79,06/15/21-030533,06/15/21-030546,12.935075044631958,30,0.00041586102452129126,0.9968847632408142,0.9968847632408142,0.9968847632408142,0.00502996239811182,0.9664804339408875,0.9664804339408875,0.9719101190567017,relu,32,0.5,0.95,30
33,06/15/21-025502,06/15/21-025519,17.119945287704468,22,0.001653017709031701,0.9900311231613159,0.9881619811058044,0.9931120872497559,0.005577581934630871,0.9608938694000244,0.9608938694000244,0.9717513918876648,relu,16,0.3,0.9,30
29,06/15/21-025333,06/15/21-025358,24.539265632629395,30,0.0013473067665472627,0.9919003248214722,0.991277277469635,0.9931336045265198,0.006467741448432207,0.9553072452545166,0.9497206807136536,0.9659090638160706,relu,16,0.1,0.95,30
19,06/15/21-024907,06/15/21-024934,27.580739498138428,30,0.0012638767948374152,0.9931464195251465,0.9925233721733093,0.9943820238113403,0.006620156578719616,0.9553072452545166,0.9553072452545166,0.9553072452545166,relu,16,0.07,0.95,30
18,06/15/21-024841,06/15/21-024906,25.857335805892944,27,0.00483543099835515,0.9707165360450745,0.9626168012619019,0.9797083139419556,0.009740922600030899,0.9497206807136536,0.9497206807136536,0.9497206807136536,relu,16,0.07,0.9,30
74,06/15/21-030431,06/15/21-030442,10.783847332000732,25,0.0005950686172582209,0.9968847632408142,0.9968847632408142,0.9968847632408142,0.0068788593634963036,0.9497206807136536,0.9497206807136536,0.9659090638160706,relu,32,0.3,0.95,30
36,06/15/21-025601,06/15/21-025626,24.897547483444214,30,0.004634491633623838,0.9707165360450745,0.9663551449775696,0.9804045557975769,0.009497575461864471,0.9497206807136536,0.9497206807136536,0.9550561904907227,relu,16,0.5,0.3,30
34,06/15/21-025519,06/15/21-025538,18.425348043441772,24,0.0010424735955893993,0.9931464195251465,0.9925233721733093,0.9943820238113403,0.0072577050887048244,0.9497206807136536,0.9497206807136536,0.9497206807136536,relu,16,0.3,0.95,30
28,06/15/21-025311,06/15/21-025333,21.9322509765625,30,0.0029096072539687157,0.9825544953346252,0.9788162112236023,0.9843358397483826,0.0077857100404798985,0.9441340565681458,0.9385474920272827,0.9491525292396545,relu,16,0.1,0.9,30
32,06/15/21-025442,06/15/21-025502,19.396069765090942,25,0.006232742220163345,0.9595015645027161,0.9526479840278625,0.9695624709129333,0.009143299423158169,0.9441340565681458,0.9385474920272827,0.9438202381134033,relu,16,0.3,0.6,30
37,06/15/21-025626,06/15/21-025645,19.022013664245605,23,0.0032451446168124676,0.9769470691680908,0.9725856781005859,0.9842370748519897,0.00801205262541771,0.9441340565681458,0.9385474920272827,0.9491525292396545,relu,16,0.5,0.6,30
59,06/15/21-030120,06/15/21-030132,11.438630819320679,23,0.008149584755301476,0.945794403553009,0.9370716214179993,0.9622520804405212,0.009988528676331043,0.9441340565681458,0.9385474920272827,0.9491525292396545,relu,32,0.07,0.95,30
4,06/15/21-024224,06/15/21-024250,25.47442317008972,30,0.012064537033438683,0.9190031290054321,0.9028037190437317,0.9514116644859314,0.011656631715595722,0.9441340565681458,0.916201114654541,0.9479768872261047,relu,16,0.01,0.95,30
8,06/15/21-024359,06/15/21-024427,27.544917821884155,30,0.010014682076871395,0.9364485740661621,0.9221183657646179,0.9536082744598389,0.010905612260103226,0.9385474920272827,0.9329608678817749,0.9435028433799744,relu,16,0.03,0.9,30
24,06/15/21-025122,06/15/21-025147,24.252124309539795,23,0.0031118751503527164,0.9794392585754395,0.9769470691680908,0.9861634969711304,0.010258755646646023,0.9385474920272827,0.9385474920272827,0.9438202381134033,relu,16,0.09,0.95,30
23,06/15/21-025102,06/15/21-025122,20.02156949043274,21,0.005813594441860914,0.963239848613739,0.9557632207870483,0.9733502268791199,0.010333653539419174,0.9385474920272827,0.9329608678817749,0.9435028433799744,relu,16,0.09,0.9,30
73,06/15/21-030421,06/15/21-030431,9.72769546508789,20,0.004314657300710678,0.9750778675079346,0.9669781923294067,0.9829005599021912,0.008830449543893337,0.9385474920272827,0.9385474920272827,0.9438202381134033,relu,32,0.3,0.9,30
30,06/15/21-025358,06/15/21-025421,22.850822925567627,30,0.009258242323994637,0.9395638704299927,0.92710280418396,0.9556840062141418,0.009789377450942993,0.9385474920272827,0.9385474920272827,0.9438202381134033,relu,16,0.3,0.0,30
9,06/15/21-024427,06/15/21-024455,28.150425910949707,30,0.005442178342491388,0.9651090502738953,0.9582554697990417,0.9783715009689331,0.010213366709649563,0.9385474920272827,0.9385474920272827,0.9545454382896423,relu,16,0.03,0.95,30
54,06/15/21-030019,06/15/21-030033,13.212167501449585,29,0.008220266550779343,0.9464174509048462,0.9333333373069763,0.9608723521232605,0.010001393035054207,0.9385474920272827,0.9273743033409119,0.954023003578186,relu,32,0.05,0.95,30
58,06/15/21-030106,06/15/21-030120,13.337292671203613,30,0.009958301670849323,0.9352024793624878,0.918380081653595,0.9552819132804871,0.01155165582895279,0.9385474920272827,0.9217877388000488,0.9428571462631226,relu,32,0.07,0.9,30
14,06/15/21-024642,06/15/21-024710,27.783336400985718,30,0.003988807089626789,0.9763239622116089,0.9732087254524231,0.9886075854301453,0.009635122492909431,0.9385474920272827,0.9329608678817749,0.9488636255264282,relu,16,0.05,0.95,30
13,06/15/21-024619,06/15/21-024642,22.470786094665527,21,0.011055681854486465,0.9258567094802856,0.9096572995185852,0.9486679434776306,0.010850909166038036,0.9385474920272827,0.9273743033409119,0.954023003578186,relu,16,0.05,0.9,30
64,06/15/21-030225,06/15/21-030238,12.558876514434814,24,0.0056310296058654785,0.9669781923294067,0.9582554697990417,0.9746514558792114,0.009749448858201504,0.9385474920272827,0.9385474920272827,0.9438202381134033,relu,32,0.09,0.95,30
76,06/15/21-030455,06/15/21-030508,12.942092657089233,29,0.009091181680560112,0.9395638704299927,0.9239875674247742,0.9623621106147766,0.012840726412832737,0.9329608678817749,0.910614550113678,0.9476743936538696,relu,32,0.5,0.3,30
39,06/15/21-025710,06/15/21-025723,12.462067365646362,14,0.0019586505368351936,0.9887850284576416,0.986292839050293,0.9893749952316284,0.011122218333184719,0.9329608678817749,0.9329608678817749,0.9435028433799744,relu,16,0.5,0.95,30
68,06/15/21-030318,06/15/21-030331,13.379683017730713,30,0.006238952279090881,0.9601246118545532,0.949532687664032,0.9775497317314148,0.010006241500377655,0.9329608678817749,0.9329608678817749,0.9435028433799744,relu,32,0.1,0.9,30
71,06/15/21-030356,06/15/21-030409,13.166571140289307,30,0.011918819509446621,0.9190031290054321,0.9015576243400574,0.9432855248451233,0.013627387583255768,0.9273743033409119,0.910614550113678,0.9476743936538696,relu,32,0.3,0.3,30
77,06/15/21-030508,06/15/21-030520,11.614094972610474,26,0.006820391863584518,0.9538940787315369,0.9482865929603577,0.9725239872932434,0.013185570016503334,0.9273743033409119,0.9050279259681702,0.9473684430122375,relu,32,0.5,0.6,30
69,06/15/21-030332,06/15/21-030342,10.608432054519653,23,0.005743568763136864,0.9651090502738953,0.9563862681388855,0.9770846366882324,0.010851835831999779,0.9273743033409119,0.9050279259681702,0.9364162087440491,relu,32,0.1,0.95,30
72,06/15/21-030409,06/15/21-030421,11.431055307388306,25,0.010642139241099358,0.932087242603302,0.9171339273452759,0.9533678889274597,0.012578161433339119,0.9273743033409119,0.910614550113678,0.9421965479850769,relu,32,0.3,0.6,30
