(DeviceArray(0.92310005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f487c61bda0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.92230004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c4451780>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.92010003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f487c19f3c8>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.91910005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f448c080>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.919, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48fc0d9668>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.91440004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c43a9550>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9143, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48fc0cb7b8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9139, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c44d6710>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.91380006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48b46f6f60>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.91300005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48b42ac438>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.91090006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f492c240d68>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
