,clientID,client_lr,client_mom,batch_size,loss,accuracy
312,6,1.0,1.0,16,0.0040082442574203,0.831892192363739
314,6,1.0,1.0,64,0.0042779496870934,0.8219022750854492
313,6,1.0,0.6666666666666666,16,0.0043675531633198,0.8148505687713623
315,6,1.0,1.0,32,0.0045253313146531,0.8093099594116211
316,6,1.0,0.3333333333333333,16,0.0050548310391604,0.7854264378547668
318,6,0.1836734693877551,1.0,32,0.0051206895150244,0.7816067934036255
317,6,0.1836734693877551,1.0,16,0.0050723212771117,0.7792562246322632
319,6,1.0,0.6666666666666666,32,0.0051880222745239,0.7727081775665283
320,6,0.0816326530612245,1.0,16,0.0057232724502682,0.752434492111206
321,6,0.1836734693877551,0.6666666666666666,16,0.0062530469149351,0.7287608981132507
