,clientID,client_lr,client_mom,batch_size,loss,accuracy
807,8,0.1836734693877551,0.9473684210526315,16,0.0375117845833301,0.7295389771461487
808,8,0.12244897959183676,0.9999999999999999,16,0.038480382412672,0.7247334718704224
809,8,0.0816326530612245,0.9999999999999999,16,0.0394072048366069,0.7125694751739502
814,8,0.12244897959183676,0.9473684210526315,16,0.0422000102698802,0.6918455958366394
811,8,0.0816326530612245,0.9999999999999999,32,0.0422386899590492,0.6904940605163574
821,8,1.0,0.3157894736842105,16,0.0424803085625171,0.6889923214912415
810,8,0.04081632653061224,0.9999999999999999,16,0.0436935313045978,0.6769785284996033
822,8,0.5918367346938775,0.9473684210526315,64,0.0435292199254035,0.6750262975692749
812,8,0.5918367346938775,0.3157894736842105,16,0.0458818487823009,0.6610602140426636
813,8,0.12244897959183676,0.9999999999999999,32,0.0459573045372962,0.6604595184326172
