,clientID,client_lr,client_mom,batch_size,loss,accuracy
1112,14,1.0,0.9999999999999999,32,0.0003492980904411,0.9981626272201538
1127,14,1.0,0.9473684210526315,16,0.0005517502431757,0.99770325422287
1120,14,1.0,0.9999999999999999,16,0.0004395066061988,0.99770325422287
1113,14,0.5918367346938775,0.9999999999999999,32,0.0005025265272706,0.9972439408302308
1123,14,0.5918367346938775,0.9999999999999999,16,0.0004476365284062,0.9972439408302308
1115,14,0.5918367346938775,0.9473684210526315,16,0.0005136225954629,0.9967845678329468
1124,14,0.1836734693877551,0.9999999999999999,16,0.0006505160708911,0.9967845678329468
1126,14,0.163265306122449,0.9999999999999999,16,0.000683736638166,0.9967845678329468
1114,14,1.0,0.9473684210526315,32,0.0005580662982538,0.9963251948356628
1117,14,0.5918367346938775,0.9473684210526315,32,0.0007971465820446,0.9963251948356628
