,clientID,client_lr,client_mom,batch_size,loss,accuracy
916,9,0.5918367346938775,0.3157894736842105,16,0.014657306484878,0.9051507711410522
917,9,1.0,0.3157894736842105,16,0.0148078948259353,0.9036850929260254
915,9,0.5918367346938775,0.631578947368421,32,0.0150743396952748,0.9026381969451904
923,9,0.04081632653061224,0.9999999999999999,16,0.015614247880876,0.8957286477088928
935,9,0.04081632653061224,0.9473684210526315,16,0.0161959771066904,0.894262969493866
912,9,0.1836734693877551,0.9473684210526315,32,0.0163215808570384,0.8930066823959351
919,9,0.0816326530612245,0.9473684210526315,32,0.0166475567966699,0.8914363384246826
913,9,0.0816326530612245,0.9999999999999999,16,0.0165808722376823,0.8902847766876221
921,9,0.5918367346938775,0.0,16,0.0169936809688806,0.8898659944534302
920,9,1.0,0.631578947368421,32,0.0167226064950227,0.8884003162384033
