,clientID,client_lr,client_mom,batch_size,loss,accuracy
178,2,0.5918367346938775,0.9999999999999999,32,0.0014237273717299,0.9929453134536744
1963,2,0.5918367346938775,0.9999999999999999,32,0.0014237273717299,0.9929453134536744
177,2,0.5918367346938775,0.9473684210526315,16,0.0015030081849545,0.9902998208999634
1962,2,0.5918367346938775,0.9473684210526315,16,0.0015030081849545,0.9902998208999634
179,2,0.1836734693877551,0.9999999999999999,16,0.0033435060176998,0.9801587462425232
1964,2,0.1836734693877551,0.9999999999999999,16,0.0033435060176998,0.9801587462425232
184,2,0.5918367346938775,0.9999999999999999,16,0.003298751078546,0.9792768955230712
1969,2,0.5918367346938775,0.9999999999999999,16,0.003298751078546,0.9792768955230712
180,2,1.0,0.9473684210526315,32,0.0035616536624729,0.9783950448036194
1965,2,1.0,0.9473684210526315,32,0.0035616536624729,0.9783950448036194
