,dataset,skew_type,skew,nr_clients,acc,lr,mom,bs,experiment_type
0,emnist,label,5.0,20,84.750223,0.5,0.925,16,DBSCAN HPO
0,mnist,qty,0.1,10,99.070007,0.3,0.0,8,grid search
0,mnist,qty,0.1,10,98.780006,0.5,0.6,16,DBSCAN HPO
0,mnist,qty,0.4,10,99.020004,0.5,0.0,8,grid search
0,mnist,qty,0.4,10,98.420006,0.29999999999999993,0.9269230769230768,16,DBSCAN HPO
0,mnist,qty,1.0,10,98.94,0.5,0.0,8,grid search
0,mnist,qty,1.0,10,98.640007,0.5,0.6,16,DBSCAN HPO
0,mnist,qty,2.0,10,98.84000400000001,0.3,0.6,8,grid search
0,mnist,qty,2.0,10,98.700005,0.5,0.6,16,DBSCAN HPO
0,mnist,qty,0.1,20,98.960006,0.3,0.6,8,grid search
0,mnist,qty,0.1,20,98.45000499999999,0.30000000000000004,0.9231707317073171,16,DBSCAN HPO
0,mnist,qty,0.4,20,98.79,0.5,0.6,8,grid search
0,mnist,qty,0.4,20,97.950006,0.5,0.9226415094339624,32,DBSCAN HPO
0,mnist,qty,1.0,20,98.690003,0.5,0.6,8,grid search
0,mnist,qty,1.0,20,98.25001,0.5,0.6,16,DBSCAN HPO
0,mnist,qty,2.0,20,98.620003,0.5,0.6,8,grid search
0,mnist,qty,2.0,20,98.23000400000001,0.5,0.6,16,DBSCAN HPO
0,svhn_cropped,qty,0.1,10,88.54486299999999,0.5,0.3,8,grid search
0,svhn_cropped,qty,0.1,10,84.48447999999999,0.06642857142857143,0.9107142857142857,16,DBSCAN HPO
0,svhn_cropped,qty,0.4,10,88.87138999999999,0.5,0.0,8,grid search
0,svhn_cropped,qty,0.4,10,87.46927,0.5,0.6,16,DBSCAN HPO
0,svhn_cropped,qty,1.0,10,88.483405,0.5,0.6,8,grid search
0,svhn_cropped,qty,1.0,10,86.67025000000001,0.3,0.6,16,DBSCAN HPO
0,svhn_cropped,qty,2.0,10,88.04164,0.5,0.6,8,grid search
0,svhn_cropped,qty,2.0,10,87.158114,0.5,0.5999999999999999,16,DBSCAN HPO
0,svhn_cropped,qty,0.1,20,88.44883,0.3,0.6,8,grid search
0,svhn_cropped,qty,0.1,20,87.165797,0.3,0.3,16,DBSCAN HPO
0,svhn_cropped,qty,0.4,20,87.76122,0.5,0.3,8,grid search
0,svhn_cropped,qty,0.4,20,86.797017,0.5,0.5999999999999999,16,DBSCAN HPO
0,svhn_cropped,qty,1.0,20,87.730485,0.5,0.6,8,grid search
0,svhn_cropped,qty,1.0,20,86.25921600000001,0.5,0.5999999999999999,16,DBSCAN HPO
0,svhn_cropped,qty,2.0,20,87.28872,0.5,0.6,8,grid search
0,svhn_cropped,qty,2.0,20,85.75983000000001,0.5,0.5999999999999999,16,DBSCAN HPO
0,cifar10,qty,0.1,10,73.22,0.5,0.3,8,grid search
0,cifar10,qty,0.1,10,73.22,0.5,0.3,8,DBSCAN HPO
0,cifar10,qty,0.4,10,71.900004,0.5,0.3,8,grid search
0,cifar10,qty,0.4,10,70.8,0.3,0.6,8,DBSCAN HPO
0,cifar10,qty,1.0,10,69.640005,0.5,0.6,8,grid search
0,cifar10,qty,1.0,10,63.350004000000006,0.5,0.6,16,DBSCAN HPO
0,cifar10,qty,2.0,10,67.32000000000001,0.5,0.6,8,grid search
0,cifar10,qty,2.0,10,64.3,0.5,0.29999999999999993,8,DBSCAN HPO
0,cifar10,qty,0.1,20,69.91000000000001,0.5,0.9,8,grid search
0,cifar10,qty,0.1,20,65.7,0.3,0.3,16,DBSCAN HPO
0,cifar10,qty,0.4,20,69.91000000000001,0.5,0.3,8,grid search
0,cifar10,qty,0.4,20,66.25,0.5,0.5999999999999999,8,DBSCAN HPO
0,cifar10,qty,1.0,20,66.630006,0.5,0.9,8,grid search
0,cifar10,qty,1.0,20,57.230000000000004,0.5,0.29999999999999993,8,DBSCAN HPO
0,cifar10,qty,2.0,20,64.250004,0.5,0.6,8,grid search
0,cifar10,qty,2.0,20,64.250004,0.5,0.6,8,DBSCAN HPO
0,emnist,qty,0.1,10,86.547804,0.3,0.0,8,grid search
0,emnist,qty,0.1,10,86.06123,0.5,0.0,16,DBSCAN HPO
0,emnist,qty,0.4,10,86.28904,0.5,0.0,8,grid search
0,emnist,qty,0.4,10,86.117965,0.5,0.0,16,DBSCAN HPO
0,emnist,qty,1.0,10,86.26755,0.5,0.0,8,grid search
0,emnist,qty,1.0,10,86.038876,0.5,0.6,16,DBSCAN HPO
0,emnist,qty,2.0,10,86.25637,0.5,0.3,8,grid search
0,emnist,qty,2.0,10,85.963225,0.5,0.6,16,DBSCAN HPO
0,emnist,qty,0.1,20,86.305374,0.3,0.3,8,grid search
0,emnist,qty,0.1,20,86.13516,0.5,0.0,16,DBSCAN HPO
0,emnist,qty,0.4,20,86.120546,0.3,0.3,8,grid search
0,emnist,qty,0.4,20,85.936576,0.5,0.29999999999999993,16,DBSCAN HPO
0,emnist,qty,1.0,20,85.93141399999999,0.5,0.6,8,grid search
0,emnist,qty,1.0,20,85.72251,0.5,0.6,16,DBSCAN HPO
0,emnist,qty,2.0,20,85.89445,0.5,0.6,8,grid search
0,emnist,qty,2.0,20,85.56863,0.5,0.6000000000000001,16,DBSCAN HPO
