,clientID,client_lr,client_mom,batch_size,loss,accuracy
718,9,0.1836734693877551,0.9473684210526315,16,0.0105164684355258,0.9358474016189576
721,9,1.0,0.631578947368421,32,0.0134220290929079,0.9143909811973572
728,9,0.163265306122449,0.9473684210526315,16,0.0137443337589502,0.9126571416854858
716,9,0.1836734693877551,0.9999999999999999,32,0.0140746533870697,0.9098396301269532
714,9,0.12244897959183676,0.9999999999999999,32,0.0134609714150428,0.9096229076385498
713,9,0.5918367346938775,0.631578947368421,16,0.0146729694679379,0.9076722860336304
719,9,0.0816326530612245,0.9999999999999999,16,0.0141720883548259,0.907455563545227
729,9,1.0,0.631578947368421,16,0.0145349344238638,0.9072388410568236
723,9,1.0,0.3157894736842105,16,0.0142080197110772,0.905938446521759
722,9,0.5918367346938775,0.9473684210526315,32,0.016116127371788,0.8948851227760315
