,clientID,client_lr,client_mom,batch_size,loss,accuracy
177,2,1.0,0.9473684210526315,16,0.0014671793906018,0.9920634627342224
178,2,0.5918367346938775,0.9999999999999999,16,0.0033340489026159,0.979365050792694
179,2,1.0,0.9999999999999999,32,0.0040519265457987,0.9746031761169434
181,2,1.0,0.9999999999999999,64,0.0045615555718541,0.9746031761169434
182,2,0.1836734693877551,0.9999999999999999,16,0.007396787405014,0.9650793671607972
187,2,1.0,0.9473684210526315,64,0.0061857686378061,0.9634920358657836
184,2,0.12244897959183676,0.9999999999999999,16,0.006304832175374,0.961904764175415
185,2,0.5918367346938775,0.9473684210526315,32,0.006876871921122,0.961904764175415
183,2,1.0,0.9473684210526315,32,0.0066064829006791,0.958730161190033
180,2,0.5918367346938775,0.9999999999999999,32,0.0065223784185945,0.9555555582046508
