,clientID,client_lr,client_mom,batch_size,loss,accuracy
493,5,0.5918367346938775,0.9473684210526315,64,0.0407644994556903,0.7026459574699402
492,5,1.0,0.631578947368421,32,0.0417824387550354,0.7003359794616699
494,5,0.5918367346938775,0.9473684210526315,32,0.0422287993133068,0.6950861215591431
497,5,1.0,0.631578947368421,16,0.045396015048027,0.667366623878479
495,5,0.0816326530612245,0.9999999999999999,16,0.0464076213538646,0.6581268310546875
496,5,0.04081632653061224,0.9999999999999999,16,0.0472288429737091,0.6493070125579834
498,5,1.0,0.9473684210526315,64,0.0485349036753177,0.6434271335601807
500,5,0.1836734693877551,0.9473684210526315,32,0.0506670624017715,0.6230575442314148
499,5,0.5918367346938775,0.631578947368421,32,0.0510935299098491,0.618437647819519
501,5,0.1836734693877551,0.9473684210526315,16,0.0522929243743419,0.6112977862358093
