,clientID,client_lr,client_mom,batch_size,loss,accuracy
749,9,0.5918367346938775,0.631578947368421,16,0.039514735341072,0.7232033014297485
716,9,0.5918367346938775,0.9473684210526315,32,0.04019171372056,0.7190964818000793
763,9,0.163265306122449,0.9999999999999999,16,0.040443480014801,0.7186858057975769
725,9,1.0,0.631578947368421,16,0.0396477468311786,0.7166324257850647
731,9,0.1836734693877551,0.9999999999999999,16,0.0415476262569427,0.71416836977005
726,9,1.0,0.3157894736842105,16,0.0411422215402126,0.7080082297325134
712,9,0.12244897959183676,0.9473684210526315,16,0.041071992367506,0.701848030090332
748,9,1.0,0.0,16,0.0415002703666687,0.7002053260803223
736,9,0.12244897959183676,0.9999999999999999,16,0.0421042665839195,0.6973305940628052
750,9,0.1836734693877551,0.9999999999999999,32,0.0427074246108531,0.6948665380477905
