,clientID,client_lr,client_mom,batch_size,loss,accuracy
320,4,1.0,0.9473684210526315,32,0.0009178735781461,0.996825397014618
312,4,1.0,0.9999999999999999,32,0.0009495644480921,0.9952380657196044
319,4,0.5918367346938775,0.9473684210526315,16,0.00094784819521,0.994179904460907
325,4,1.0,0.631578947368421,16,0.0013815544079989,0.9925925731658936
313,4,0.5918367346938775,0.9999999999999999,32,0.0015726409619674,0.9910053014755248
318,4,0.1836734693877551,0.9999999999999999,16,0.001671330537647,0.9910053014755248
315,4,1.0,0.9473684210526315,16,0.0016457366291433,0.9904761910438538
330,4,0.0816326530612245,0.9999999999999999,16,0.002180176321417,0.9888888597488404
316,4,0.5918367346938775,0.9473684210526315,32,0.002178841503337,0.988359808921814
323,4,0.5918367346938775,0.9999999999999999,16,0.0019809920340776,0.9873015880584716
