,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
39,05/16/21-011845,05/16/21-011946,60.64842629432678,26,0.019025862216949463,0.8787878751754761,0.8585858345031738,0.9139785170555115,0.04650745168328285,0.7008000016212463,0.6427000164985657,0.7451594471931458,relu,16,0.7,0.95,50
38,05/16/21-011757,05/16/21-011845,48.1282274723053,20,0.025702720507979393,0.8484848737716675,0.8282828330993652,0.8723404407501221,0.05122027546167374,0.6650999784469604,0.6412000060081482,0.7071799039840698,relu,16,0.7,0.9,50
34,05/16/21-011532,05/16/21-011636,64.73025941848755,28,0.013332419097423553,0.9191918969154358,0.9090909361839294,0.918367326259613,0.05730552226305008,0.6504999995231628,0.6347000002861023,0.668386697769165,relu,16,0.5,0.95,50
33,05/16/21-011451,05/16/21-011531,40.4900062084198,17,0.034671932458877563,0.7676767706871033,0.7070707082748413,0.875,0.05960012972354889,0.5601999759674072,0.47519999742507935,0.6586278676986694,relu,16,0.5,0.9,50
21,05/16/21-011042,05/16/21-011119,37.0260009765625,16,0.08946908265352249,0.3030303120613098,0.0,0.0,0.08971139788627625,0.24619999527931213,0.0,0.0,relu,16,0.1,0.3,50
46,05/16/21-012056,05/16/21-012106,9.5961754322052,6,0.08989761769771576,0.20202019810676575,0.0,0.0,0.08988704532384872,0.22689999639987946,0.0,0.0,relu,32,0.03,0.3,50
53,05/16/21-012208,05/16/21-012233,24.6608247756958,17,0.08938460052013397,0.2525252401828766,0.0,0.0,0.08970706909894943,0.2125999927520752,0.0,0.0,relu,32,0.05,0.9,50
49,05/16/21-012126,05/16/21-012137,10.39455795288086,6,0.08988899737596512,0.21212121844291687,0.0,0.0,0.08988890051841736,0.20810000598430634,0.0,0.0,relu,32,0.03,0.95,50
72,05/16/21-012718,05/16/21-012748,29.69472026824951,21,0.08794517815113068,0.23232322931289673,0.0,0.0,0.08869549632072449,0.19140000641345978,0.0,0.0,relu,32,0.5,0.6,50
37,05/16/21-011728,05/16/21-011757,28.882850170135498,12,0.08702189475297928,0.27272728085517883,0.0,0.0,0.08840762823820114,0.18240000307559967,0.0,0.0,relu,16,0.7,0.6,50
76,05/16/21-012828,05/16/21-012842,13.273487329483032,10,0.08939141035079956,0.2525252401828766,0.0,0.0,0.08973683416843414,0.17640000581741333,0.0,0.0,relu,32,0.7,0.3,50
94,05/16/21-013038,05/16/21-013047,9.394703388214111,13,0.08972665667533875,0.19191919267177582,0.0,0.0,0.08976531028747559,0.1737000048160553,0.0,0.0,relu,64,0.05,0.95,50
59,05/16/21-012343,05/16/21-012401,18.26571798324585,13,0.08905433863401413,0.20202019810676575,0.0,0.0,0.08962048590183258,0.17270000278949738,0.0,0.0,relu,32,0.07,0.95,50
57,05/16/21-012307,05/16/21-012326,19.240898609161377,14,0.08955702930688858,0.20202019810676575,0.0,0.0,0.08975545316934586,0.16820000112056732,0.0,0.0,relu,32,0.07,0.6,50
78,05/16/21-012852,05/16/21-012902,9.673845529556274,7,0.08728164434432983,0.16161616146564484,0.0,0.0,0.08886956423521042,0.1656000018119812,0.0,0.0,relu,32,0.7,0.9,50
58,05/16/21-012326,05/16/21-012343,16.58193850517273,11,0.08960413932800293,0.2626262605190277,0.0,0.0,0.0898299589753151,0.16060000658035278,0.0,0.0,relu,32,0.07,0.9,50
23,05/16/21-011135,05/16/21-011153,17.83339786529541,7,0.0889015793800354,0.17171716690063477,0.0,0.0,0.08952602744102478,0.15809999406337738,0.0,0.0,relu,16,0.1,0.9,50
4,05/16/21-010413,05/16/21-010502,49.32210564613342,21,0.08959411084651947,0.28282827138900757,0.0,0.0,0.08979660272598267,0.15800000727176666,0.0,0.0,relu,16,0.01,0.95,50
63,05/16/21-012446,05/16/21-012504,17.986132383346558,12,0.08932387828826904,0.20202019810676575,0.0,0.0,0.08978009223937988,0.1559000015258789,0.0,0.0,relu,32,0.1,0.9,50
84,05/16/21-012933,05/16/21-012938,5.04132342338562,6,0.09009189158678055,0.1515151560306549,0.0,0.0,0.09006313234567642,0.15240000188350677,0.0,0.0,relu,64,0.01,0.95,50
52,05/16/21-012157,05/16/21-012208,11.038323163986206,6,0.0899425819516182,0.1515151560306549,0.0,0.0,0.0899781584739685,0.15219999849796295,0.0,0.0,relu,32,0.05,0.6,50
115,05/16/21-013312,05/16/21-013322,9.84392499923706,13,0.08980128914117813,0.21212121844291687,0.0,0.0,0.0899060070514679,0.1509999930858612,0.0,0.0,relu,64,0.7,0.0,50
106,05/16/21-013154,05/16/21-013207,12.989799976348877,18,0.08967968076467514,0.19191919267177582,0.0,0.0,0.08981369435787201,0.14710000157356262,0.0,0.0,relu,64,0.3,0.3,50
36,05/16/21-011653,05/16/21-011727,34.59158778190613,14,0.08763646334409714,0.24242424964904785,0.0,0.0,0.08861798048019409,0.1467999964952469,0.0,0.0,relu,16,0.7,0.3,50
109,05/16/21-013228,05/16/21-013235,6.59626841545105,8,0.08955110609531403,0.19191919267177582,0.0,0.0,0.08976662158966064,0.1445000022649765,0.0,0.0,relu,64,0.3,0.95,50
19,05/16/21-011011,05/16/21-011026,15.153764724731445,6,0.08911775052547455,0.21212121844291687,0.0,0.0,0.08954288065433502,0.14219999313354492,0.0,0.0,relu,16,0.07,0.95,50
110,05/16/21-013235,05/16/21-013245,9.767977476119995,13,0.08985643833875656,0.19191919267177582,0.0,0.0,0.08993584662675858,0.14169999957084656,0.0,0.0,relu,64,0.5,0.0,50
67,05/16/21-012601,05/16/21-012630,28.136361360549927,20,0.08913843333721161,0.23232322931289673,0.0,0.0,0.08963432908058167,0.14000000059604645,0.0,0.0,relu,32,0.3,0.6,50
30,05/16/21-011332,05/16/21-011400,27.56458306312561,12,0.08926471322774887,0.19191919267177582,0.0,0.0,0.08951924741268158,0.1395999938249588,0.0,0.0,relu,16,0.5,0.0,50
3,05/16/21-010353,05/16/21-010412,19.49090075492859,6,0.08998089283704758,0.16161616146564484,0.0,0.0,0.09002762287855148,0.1386999934911728,0.0,0.0,relu,16,0.01,0.9,50
65,05/16/21-012524,05/16/21-012548,24.1938533782959,17,0.08981787413358688,0.1515151560306549,0.0,0.0,0.0899091362953186,0.13670000433921814,0.0,0.0,relu,32,0.3,0.0,50
75,05/16/21-012809,05/16/21-012828,18.953248739242554,15,0.0892639085650444,0.1515151560306549,0.0,0.0,0.08965540677309036,0.1363999992609024,0.0,0.0,relu,32,0.7,0.0,50
1,05/16/21-010311,05/16/21-010331,20.332183599472046,6,0.08996625244617462,0.14141413569450378,0.0,0.0,0.08995184302330017,0.13510000705718994,0.0,0.0,relu,16,0.01,0.3,50
