,clientID,client_lr,client_mom,batch_size,loss,accuracy
456,9,1.0,1.0,16,0.0032761441543698,0.8595125079154968
457,9,1.0,1.0,32,0.0033983993344008,0.8570500016212463
459,9,1.0,1.0,64,0.0036918732803314,0.8426983952522278
458,9,0.1836734693877551,1.0,16,0.0037657609209418,0.8424181342124939
461,9,1.0,0.6666666666666666,16,0.003819340839982,0.8368313312530518
463,9,1.0,0.0,16,0.0038300356827676,0.8352810740470886
460,9,1.0,0.3333333333333333,16,0.0038921141531318,0.8348518013954163
464,9,1.0,0.6666666666666666,32,0.0039110481739044,0.8331226706504822
462,9,0.1836734693877551,1.0,64,0.0039125569164752,0.8323654532432556
465,9,0.0816326530612245,1.0,16,0.004020769149065,0.8280783891677856
