,clientID,client_lr,client_mom,batch_size,loss,accuracy
312,4,1.0,0.9473684210526315,16,0.0001870550768217,0.9930497407913208
315,4,0.5918367346938775,0.9999999999999999,16,0.0001922924275277,0.992860734462738
314,4,1.0,0.9999999999999999,32,0.0002115743263857,0.9916428923606871
323,4,0.5918367346938775,0.9999999999999999,32,0.0002405208942946,0.990718960762024
320,4,0.1836734693877551,0.9999999999999999,16,0.0002650050446391,0.9895851016044616
313,4,1.0,0.9999999999999999,16,0.0002782916999422,0.989564061164856
322,4,0.163265306122449,0.9999999999999999,16,0.0003276344796177,0.988178253173828
321,4,0.5918367346938775,0.9473684210526315,16,0.0003211415896657,0.9878002405166626
324,4,0.5918367346938775,0.631578947368421,16,0.0003367821627762,0.9876532554626464
325,4,0.1836734693877551,0.9473684210526315,16,0.000338245765306,0.987569272518158
