,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,client_lr,client_momentum,batch_size,epochs
15,12/12/22-145548,12/12/22-145601,12.664337635040283,30,0.07769383490085602,0.3403441607952118,0.13193117082118988,0.6831682920455933,0.08480340242385864,0.3050847351551056,0.033898305147886276,0.3333333432674408,relu,0.1,0.9,8,30
17,12/12/22-145609,12/12/22-145622,12.57165813446045,30,0.08058086037635803,0.31931164860725403,0.047801148146390915,0.5813953280448914,0.08574457466602325,0.2881355881690979,0.033898305147886276,0.3333333432674408,relu,0.3,0.3,8,30
7,12/12/22-145441,12/12/22-145454,12.825781106948853,30,0.08116963505744934,0.2925430238246918,0.042065009474754333,0.6470588445663452,0.08564674854278564,0.2711864411830902,0.050847455859184265,0.375,relu,0.03,0.9,8,30
18,12/12/22-145622,12/12/22-145635,12.541344165802002,30,0.07774315774440765,0.3843212127685547,0.09560229629278183,0.5813953280448914,0.0903007760643959,0.2542372941970825,0.06779661029577255,0.3333333432674408,relu,0.3,0.6,8,30
5,12/12/22-145422,12/12/22-145434,12.444522380828857,30,0.08876482397317886,0.1510516256093979,0.0,0.0,0.08802798390388489,0.22033898532390594,0.0,0.0,relu,0.03,0.3,8,30
6,12/12/22-145434,12/12/22-145441,6.312948942184448,13,0.08894814550876617,0.14913958311080933,0.0,0.0,0.0878177061676979,0.22033898532390594,0.0,0.0,relu,0.03,0.6,8,30
10,12/12/22-145511,12/12/22-145520,8.48181962966919,19,0.08516890555620193,0.23518164455890656,0.019120458513498306,0.5263158082962036,0.08640614151954651,0.20338982343673706,0.016949152573943138,1.0,relu,0.05,0.6,8,30
14,12/12/22-145540,12/12/22-145548,7.588792085647583,16,0.0850127637386322,0.2275334596633911,0.009560229256749153,0.2777777910232544,0.08512893319129944,0.18644067645072937,0.016949152573943138,1.0,relu,0.1,0.6,8,30
22,12/12/22-145653,12/12/22-145701,8.166446924209595,18,0.08476218581199646,0.26577436923980713,0.0267686415463686,0.42424243688583374,0.08552780747413635,0.18644067645072937,0.0,0.0,relu,0.5,0.6,8,30
9,12/12/22-145501,12/12/22-145511,9.860746383666992,23,0.08745396137237549,0.18355640769004822,0.005736137740314007,0.6000000238418579,0.08675221353769302,0.18644067645072937,0.016949152573943138,1.0,relu,0.05,0.3,8,30
16,12/12/22-145601,12/12/22-145609,8.000537395477295,18,0.0859864130616188,0.22179731726646423,0.009560229256749153,0.3571428656578064,0.08657542616128922,0.16949152946472168,0.0,0.0,relu,0.3,0.0,8,30
12,12/12/22-145527,12/12/22-145533,6.122333765029907,13,0.0888710543513298,0.15678776800632477,0.0,0.0,0.0880218893289566,0.16949152946472168,0.0,0.0,relu,0.1,0.0,8,30
20,12/12/22-145641,12/12/22-145646,5.766469478607178,12,0.08571504801511765,0.22179731726646423,0.01529636699706316,0.47058823704719543,0.08663018047809601,0.16949152946472168,0.016949152573943138,1.0,relu,0.5,0.0,8,30
2,12/12/22-145355,12/12/22-145405,9.887808561325073,23,0.08962656557559967,0.10133843123912811,0.0,0.0,0.08933717012405396,0.16949152946472168,0.0,0.0,relu,0.01,0.6,8,30
21,12/12/22-145647,12/12/22-145652,5.881959438323975,12,0.08531869947910309,0.2581261992454529,0.01529636699706316,0.42105263471603394,0.10233485698699951,0.16949152946472168,0.050847455859184265,0.13636364042758942,relu,0.5,0.3,8,30
11,12/12/22-145520,12/12/22-145526,6.61974310874939,14,0.0885762870311737,0.14913958311080933,0.011472275480628014,0.5,0.08971735090017319,0.1525423675775528,0.0,0.0,relu,0.05,0.9,8,30
8,12/12/22-145454,12/12/22-145501,6.848592042922974,15,0.08963020890951157,0.13766729831695557,0.0,0.0,0.08924628794193268,0.1525423675775528,0.0,0.0,relu,0.05,0.0,8,30
1,12/12/22-145350,12/12/22-145355,5.509721994400024,11,0.09010740369558334,0.1070745661854744,0.0,0.0,0.08972062915563583,0.1355932205915451,0.0,0.0,relu,0.01,0.3,8,30
13,12/12/22-145533,12/12/22-145540,6.965100288391113,15,0.0850096344947815,0.23709368705749512,0.019120458513498306,0.5263158082962036,0.08716267347335815,0.1355932205915451,0.016949152573943138,1.0,relu,0.1,0.3,8,30
4,12/12/22-145415,12/12/22-145421,6.828185558319092,15,0.08948585391044617,0.1510516256093979,0.0,0.0,0.088835708796978,0.1355932205915451,0.0,0.0,relu,0.03,0.0,8,30
0,12/12/22-145342,12/12/22-145350,7.56994891166687,17,0.0903090164065361,0.10898661613464355,0.0,0.0,0.08961561322212219,0.11864406615495682,0.0,0.0,relu,0.01,0.0,8,30
3,12/12/22-145406,12/12/22-145414,8.816343069076538,20,0.08638448268175125,0.2179732322692871,0.021032504737377167,0.523809552192688,0.08711112290620804,0.11864406615495682,0.016949152573943138,0.5,relu,0.01,0.9,8,30
23,12/12/22-145701,12/12/22-145707,5.880267143249512,12,0.08993634581565857,0.1070745661854744,0.0,0.0,0.09032516181468964,0.11864406615495682,0.0,0.0,relu,0.5,0.9,8,30
19,12/12/22-145635,12/12/22-145640,5.536988019943237,11,0.08953857421875,0.154875710606575,0.0,0.0,0.09100590646266937,0.050847455859184265,0.0,0.0,relu,0.3,0.9,8,30
