,clientID,client_lr,client_mom,batch_size,loss,accuracy
314,4,1.0,0.9999999999999999,16,0.0030438348185271,0.8731536865234375
315,4,1.0,0.9473684210526315,16,0.0030927709303796,0.8704721927642822
312,4,1.0,0.9999999999999999,32,0.0031548927072435,0.8663818836212158
313,4,0.5918367346938775,0.9999999999999999,32,0.0032095666974782,0.8657456040382385
319,4,0.5918367346938775,0.9999999999999999,16,0.0033135765697807,0.8591555953025818
316,4,0.5918367346938775,0.9473684210526315,16,0.0033553391695022,0.8580648303031921
320,4,1.0,0.9473684210526315,32,0.0034029220696538,0.8556106090545654
317,4,0.1836734693877551,0.9999999999999999,16,0.0035181166604161,0.8529291749000549
318,4,0.163265306122449,0.9999999999999999,16,0.0036815125495195,0.8436122536659241
321,4,1.0,0.631578947368421,16,0.0039446582086384,0.8307958245277405
