,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
64,06/17/21-090234,06/17/21-090255,20.874293088912964,30,0.07301840931177139,0.4186827838420868,0.14448924362659454,0.6022409200668335,0.07246056944131851,0.4819277226924896,0.15662650763988495,0.5909090638160706,relu,32,0.09,0.95,30
9,06/17/21-083929,06/17/21-084002,33.44975805282593,30,0.07202379405498505,0.4334677457809448,0.16733871400356293,0.6639999747276306,0.07168275862932205,0.46987950801849365,0.1325301229953766,0.47826087474823,relu,16,0.03,0.95,30
23,06/17/21-084657,06/17/21-084728,30.909789323806763,30,0.0710710883140564,0.43682795763015747,0.18212366104125977,0.6117381453514099,0.06967955082654953,0.46987950801849365,0.1807228922843933,0.6666666865348816,relu,16,0.09,0.9,30
54,06/17/21-085915,06/17/21-085936,20.137940883636475,30,0.07593514025211334,0.3931451737880707,0.10954301059246063,0.5948905348777771,0.07326331734657288,0.45783132314682007,0.1204819306731224,0.5128205418586731,relu,32,0.05,0.95,30
59,06/17/21-090052,06/17/21-090113,20.30927014350891,30,0.07368914037942886,0.40120968222618103,0.1391129046678543,0.6017441749572754,0.0714891105890274,0.4518072307109833,0.13855421543121338,0.5609756112098694,relu,32,0.07,0.95,30
19,06/17/21-084449,06/17/21-084521,31.95148277282715,30,0.07704480737447739,0.3608871102333069,0.08736559003591537,0.5485231876373291,0.07360216230154037,0.4518072307109833,0.09638553857803345,0.5333333611488342,relu,16,0.07,0.95,30
24,06/17/21-084729,06/17/21-084758,29.411430835723877,30,0.07833580672740936,0.34811827540397644,0.08266129344701767,0.5256410241127014,0.07494752109050751,0.4457831382751465,0.05421686917543411,0.5625,relu,16,0.09,0.95,30
77,06/17/21-090702,06/17/21-090727,24.868279457092285,30,0.07545442879199982,0.3904569745063782,0.11290322244167328,0.556291401386261,0.07280323654413223,0.4457831382751465,0.10240963846445084,0.6296296119689941,relu,32,0.5,0.6,30
74,06/17/21-090559,06/17/21-090622,23.730250120162964,30,0.07417197525501251,0.3931451737880707,0.15860214829444885,0.5770171284675598,0.07638327777385712,0.4337349534034729,0.1325301229953766,0.523809552192688,relu,32,0.3,0.95,30
13,06/17/21-084127,06/17/21-084200,32.750898122787476,30,0.07426660507917404,0.4072580635547638,0.12432795763015747,0.6166666746139526,0.07655952870845795,0.4277108311653137,0.1204819306731224,0.4878048896789551,relu,16,0.05,0.9,30
32,06/17/21-085130,06/17/21-085200,29.688507795333862,30,0.07153737545013428,0.41532257199287415,0.16868279874324799,0.6370558142662048,0.0726654976606369,0.42168673872947693,0.19879518449306488,0.5409836173057556,relu,16,0.3,0.6,30
14,06/17/21-084201,06/17/21-084240,38.71165943145752,30,0.07709207385778427,0.3676075339317322,0.09811828285455704,0.5770751237869263,0.0751403197646141,0.42168673872947693,0.07228915393352509,0.6666666865348816,relu,16,0.05,0.95,30
69,06/17/21-090409,06/17/21-090431,21.608482837677002,30,0.07316102087497711,0.4139784872531891,0.16733871400356293,0.6178659796714783,0.07282805442810059,0.42168673872947693,0.09036144614219666,0.7142857313156128,relu,32,0.1,0.95,30
36,06/17/21-085313,06/17/21-085346,33.49739360809326,30,0.07255872339010239,0.4139784872531891,0.15927419066429138,0.6030534505844116,0.07159294933080673,0.42168673872947693,0.15060241520404816,0.5952380895614624,relu,16,0.5,0.3,30
