,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
78,05/29/21-211118,05/29/21-211617,299.88649106025696,22,0.05675395578145981,0.5620155334472656,0.4198966324329376,0.8084577322006226,0.07464536279439926,0.4372310936450958,0.2992470860481262,0.589615523815155,relu,32,0.7,0.9,50
55,05/29/21-201605,05/29/21-201956,230.72179985046387,18,0.08958875387907028,0.18475452065467834,0.0,0.0,0.08958467096090317,0.2045559287071228,0.0,0.0,relu,32,0.07,0.0,50
99,05/29/21-215828,05/29/21-215954,86.52045559883118,7,0.08852102607488632,0.19509044289588928,0.0,0.0,0.08858238905668259,0.19894744455814362,0.0,0.0,relu,64,0.07,0.95,50
32,05/29/21-191607,05/29/21-191905,178.0214080810547,7,0.08839502930641174,0.1860465109348297,0.0,0.0,0.08840492367744446,0.19760295748710632,0.0,0.0,relu,16,0.5,0.6,50
95,05/29/21-214939,05/29/21-215255,196.3314344882965,23,0.08977480977773666,0.17183463275432587,0.0,0.0,0.0897599309682846,0.19733405113220215,0.0,0.0,relu,64,0.07,0.0,50
59,05/29/21-202916,05/29/21-203101,104.72509169578552,6,0.08848326653242111,0.18475452065467834,0.0,0.0,0.08844669163227081,0.19694991409778595,0.0,0.0,relu,32,0.07,0.95,50
66,05/29/21-204630,05/29/21-204811,101.47742938995361,6,0.08850769698619843,0.18733850121498108,0.0,0.0,0.08854667842388153,0.19652734696865082,0.0,0.0,relu,32,0.3,0.3,50
16,05/29/21-182655,05/29/21-183112,257.29717111587524,11,0.08944091200828552,0.18346253037452698,0.0,0.0,0.08938027173280716,0.19645051658153534,0.0,0.0,relu,16,0.07,0.3,50
11,05/29/21-181138,05/29/21-181507,209.02839517593384,9,0.08965025842189789,0.17958655953407288,0.0,0.0,0.08960458636283875,0.19633528590202332,0.0,0.0,relu,16,0.05,0.3,50
6,05/29/21-175309,05/29/21-175748,278.883517742157,12,0.0893232449889183,0.18475452065467834,0.0,0.0,0.08937758952379227,0.19614320993423462,0.0,0.0,relu,16,0.03,0.3,50
70,05/29/21-205407,05/29/21-205654,166.21668124198914,12,0.08841000497341156,0.20413435995578766,0.0,0.0,0.08856167644262314,0.1960279643535614,0.0,0.0,relu,32,0.5,0.0,50
54,05/29/21-201419,05/29/21-201604,104.18527579307556,6,0.08851340413093567,0.18475452065467834,0.0,0.0,0.08845411986112595,0.19591271877288818,0.0,0.0,relu,32,0.05,0.95,50
19,05/29/21-183731,05/29/21-184018,167.33817315101624,6,0.08832281827926636,0.18733850121498108,0.0,0.0,0.08846527338027954,0.19591271877288818,0.0,0.0,relu,16,0.07,0.95,50
115,05/29/21-222526,05/29/21-222658,91.88434052467346,6,0.08862368017435074,0.18475452065467834,0.0,0.0,0.08853505551815033,0.19591271877288818,0.0,0.0,relu,64,0.7,0.0,50
47,05/29/21-200011,05/29/21-200217,126.72897219657898,7,0.08899642527103424,0.18475452065467834,0.0,0.0,0.08894236385822296,0.19587430357933044,0.0,0.0,relu,32,0.03,0.6,50
106,05/29/21-220953,05/29/21-221156,123.19961881637573,11,0.08865033835172653,0.18475452065467834,0.0,0.0,0.08858795464038849,0.19587430357933044,0.0,0.0,relu,64,0.3,0.3,50
113,05/29/21-222220,05/29/21-222400,99.73952078819275,6,0.08841359615325928,0.18475452065467834,0.0,0.0,0.08842656016349792,0.19587430357933044,0.0,0.0,relu,64,0.5,0.9,50
51,05/29/21-200812,05/29/21-201045,153.829758644104,10,0.08924590051174164,0.18475452065467834,0.0,0.0,0.08902937173843384,0.19587430357933044,0.0,0.0,relu,32,0.05,0.3,50
44,05/29/21-194914,05/29/21-195056,102.13691186904907,6,0.08907550573348999,0.18475452065467834,0.0,0.0,0.08897214382886887,0.19587430357933044,0.0,0.0,relu,32,0.01,0.95,50
114,05/29/21-222402,05/29/21-222524,81.8339455127716,6,0.08865657448768616,0.18475452065467834,0.0,0.0,0.08850742876529694,0.19587430357933044,0.0,0.0,relu,64,0.5,0.95,50
48,05/29/21-200219,05/29/21-200441,142.30886268615723,10,0.08873025327920914,0.18475452065467834,0.0,0.0,0.08887337148189545,0.19587430357933044,0.0,0.0,relu,32,0.03,0.9,50
89,05/29/21-213745,05/29/21-213945,119.61739945411682,10,0.08853078633546829,0.18475452065467834,0.0,0.0,0.08857452869415283,0.19587430357933044,0.0,0.0,relu,64,0.03,0.95,50
