,clientID,client_lr,client_mom,batch_size,loss,accuracy
1513,19,1.0,0.631578947368421,16,0.0441884510219097,0.6712328791618347
1515,19,0.12244897959183676,0.9473684210526315,16,0.0459825061261653,0.6691780686378479
1528,19,0.5918367346938775,0.9473684210526315,16,0.0468535684049129,0.6595890522003174
1512,19,0.5918367346938775,0.631578947368421,16,0.046633806079626,0.6582191586494446
1537,19,0.163265306122449,0.9473684210526315,16,0.0460395440459251,0.6575342416763306
1514,19,1.0,0.9473684210526315,32,0.0468517914414405,0.6534246802330017
1530,19,0.12244897959183676,0.9999999999999999,16,0.0468150191009044,0.6520547866821289
1516,19,0.04081632653061224,0.9999999999999999,16,0.0477311238646507,0.6493150591850281
1517,19,0.12244897959183676,0.9999999999999999,32,0.0482340157032012,0.6479452252388
1539,19,1.0,0.631578947368421,32,0.0474365092813968,0.6472602486610413
