,clientID,client_lr,client_mom,batch_size,loss,accuracy
387,4,0.1836734693877551,0.9473684210526315,16,0.0484940893948078,0.64453125
388,4,1.0,0.631578947368421,16,0.0535213500261306,0.6005859375
390,4,0.5918367346938775,0.9999999999999999,64,0.0534742176532745,0.5986328125
403,4,0.12244897959183676,0.9999999999999999,16,0.0545716993510723,0.5843098759651184
389,4,1.0,0.9999999999999999,64,0.0555590204894542,0.5751953125
395,4,0.5918367346938775,0.9473684210526315,64,0.055877074599266,0.5748698115348816
392,4,0.1836734693877551,0.9473684210526315,32,0.0562563687562942,0.5686848759651184
394,4,0.0816326530612245,0.9999999999999999,16,0.057125736027956,0.5667317509651184
393,4,1.0,0.9473684210526315,32,0.0574278533458709,0.5621744990348816
396,4,0.5918367346938775,0.3157894736842105,16,0.0580754242837429,0.5602213740348816
