,clientID,client_lr,client_mom,batch_size,loss,accuracy
552,7,1.0,0.9999999999999999,16,0.0031779704149812,0.8712245225906372
553,7,1.0,0.9999999999999999,32,0.0035008222330361,0.8576692342758179
554,7,0.5918367346938775,0.9999999999999999,16,0.003702230984345,0.8483442664146423
556,7,1.0,0.9473684210526315,16,0.0036973054520785,0.8469796180725098
555,7,0.5918367346938775,0.9473684210526315,16,0.0037188827991485,0.8460243940353394
557,7,0.5918367346938775,0.9999999999999999,32,0.0038648853078484,0.8382005095481873
558,7,1.0,0.9473684210526315,32,0.0038978776428848,0.8378821015357971
559,7,0.163265306122449,0.9999999999999999,16,0.0040001040324568,0.8330149054527283
560,7,0.1836734693877551,0.9999999999999999,16,0.0039765951223671,0.8327419757843018
564,7,0.5918367346938775,0.9473684210526315,32,0.0043718004599213,0.8173671960830688
