,clientID,client_lr,client_mom,batch_size,loss,accuracy
809,10,0.5918367346938775,0.9473684210526315,16,0.0691661909222602,0.4444444477558136
829,10,0.5918367346938775,0.631578947368421,16,0.0697946473956108,0.4438095092773437
793,10,1.0,0.631578947368421,16,0.070057600736618,0.4311110973358154
796,10,0.04081632653061224,0.9999999999999999,16,0.0714326351881027,0.4298412799835205
823,10,1.0,0.3157894736842105,16,0.0726293846964836,0.422222226858139
794,10,0.12244897959183676,0.9999999999999999,16,0.0716480240225792,0.4209523797035217
792,10,0.163265306122449,0.9473684210526315,16,0.0712782815098762,0.4203174710273742
802,10,0.1836734693877551,0.9473684210526315,16,0.0705295875668525,0.4203174710273742
811,10,0.163265306122449,0.9999999999999999,32,0.0719320029020309,0.4190476238727569
808,10,0.12244897959183676,0.9473684210526315,16,0.0718824416399002,0.4190476238727569
