,clientID,client_lr,client_mom,batch_size,loss,accuracy
971,12,0.5918367346938775,0.631578947368421,16,0.0105376942083239,0.9363858699798584
962,12,0.163265306122449,0.9473684210526315,16,0.0107532264664769,0.931842029094696
957,12,0.5918367346938775,0.9473684210526315,32,0.0108932573348283,0.9307934045791626
963,12,0.163265306122449,0.9999999999999999,32,0.0112619996070861,0.9304438829421996
965,12,0.1836734693877551,0.9473684210526315,16,0.0110955834388732,0.9283467531204224
955,12,0.0816326530612245,0.9473684210526315,16,0.0121207414194941,0.9265990853309632
954,12,1.0,0.3157894736842105,16,0.0118833500891923,0.9238028526306152
960,12,0.1836734693877551,0.9999999999999999,16,0.0120856212452054,0.9227542877197266
959,12,1.0,0.0,16,0.0120284641161561,0.9206570982933044
966,12,0.04081632653061224,0.9999999999999999,16,0.0126255014911293,0.9203075766563416
