,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,client_lr,client_momentum,batch_size,epochs
0,12/11/22-135542,12/11/22-135544,2.206529140472412,15,0.09254070371389389,0.0714285746216774,0.0,0.0,0.08857470005750656,0.4285714328289032,0.0,0.0,relu,0.01,0.0,8,30
13,12/11/22-135615,12/11/22-135617,2.8105363845825195,24,0.08785081654787064,0.2142857164144516,0.0,0.0,0.08529467135667801,0.4285714328289032,0.0,0.0,relu,0.1,0.3,8,30
4,12/11/22-135552,12/11/22-135554,2.5514307022094727,21,0.08970510214567184,0.125,0.0,0.0,0.0864938497543335,0.4285714328289032,0.0,0.0,relu,0.03,0.0,8,30
20,12/11/22-135633,12/11/22-135635,2.8297345638275146,25,0.08797318488359451,0.1607142835855484,0.0,0.0,0.0863168016076088,0.4285714328289032,0.0,0.0,relu,0.5,0.0,8,30
7,12/11/22-135600,12/11/22-135602,2.5634191036224365,20,0.08608140796422958,0.25,0.0,0.0,0.08286384493112564,0.4285714328289032,0.0,0.0,relu,0.03,0.9,8,30
22,12/11/22-135638,12/11/22-135640,2.0345709323883057,11,0.08832067996263504,0.1964285671710968,0.0,0.0,0.0863708108663559,0.2857142984867096,0.0,0.0,relu,0.5,0.6,8,30
21,12/11/22-135636,12/11/22-135638,2.0395939350128174,11,0.0883140042424202,0.2321428507566452,0.0,0.0,0.08760815113782883,0.2857142984867096,0.0,0.0,relu,0.5,0.3,8,30
19,12/11/22-135630,12/11/22-135632,2.282304048538208,15,0.08849425613880157,0.1964285671710968,0.0,0.0,0.08641493320465088,0.2857142984867096,0.0,0.0,relu,0.3,0.9,8,30
18,12/11/22-135628,12/11/22-135630,2.150991916656494,13,0.08890851587057114,0.25,0.0,0.0,0.08697701245546341,0.2857142984867096,0.0,0.0,relu,0.3,0.6,8,30
17,12/11/22-135625,12/11/22-135627,2.1009674072265625,12,0.08930117636919022,0.125,0.0,0.0,0.08792514353990555,0.2857142984867096,0.0,0.0,relu,0.3,0.3,8,30
14,12/11/22-135618,12/11/22-135620,2.047330856323242,11,0.08897440880537033,0.1428571492433548,0.0,0.0,0.08727685362100601,0.2857142984867096,0.0,0.0,relu,0.1,0.6,8,30
12,12/11/22-135612,12/11/22-135614,1.9965229034423828,11,0.08958083391189575,0.125,0.0,0.0,0.08825688809156418,0.2857142984867096,0.0,0.0,relu,0.1,0.0,8,30
11,12/11/22-135610,12/11/22-135612,2.273448944091797,15,0.08912371844053268,0.125,0.0,0.0,0.08734903484582901,0.2857142984867096,0.0,0.0,relu,0.05,0.9,8,30
10,12/11/22-135608,12/11/22-135610,2.057169198989868,11,0.08970875293016434,0.1071428582072258,0.0,0.0,0.08741474896669388,0.2857142984867096,0.0,0.0,relu,0.05,0.6,8,30
8,12/11/22-135603,12/11/22-135605,2.2894561290740967,16,0.09008652716875076,0.1428571492433548,0.0,0.0,0.08693914860486984,0.2857142984867096,0.0,0.0,relu,0.05,0.0,8,30
6,12/11/22-135557,12/11/22-135559,2.430554151535034,18,0.08954407274723053,0.1071428582072258,0.0,0.0,0.08812966197729111,0.2857142984867096,0.0,0.0,relu,0.03,0.6,8,30
3,12/11/22-135549,12/11/22-135551,2.150909185409546,13,0.08961180597543716,0.1428571492433548,0.0,0.0,0.08743013441562653,0.2857142984867096,0.0,0.0,relu,0.01,0.9,8,30
2,12/11/22-135547,12/11/22-135549,2.3322789669036865,16,0.08978495746850967,0.1607142835855484,0.0,0.0,0.08715937286615372,0.2857142984867096,0.0,0.0,relu,0.01,0.6,8,30
23,12/11/22-135640,12/11/22-135642,2.127716541290283,13,0.0893707275390625,0.125,0.0,0.0,0.08775486052036285,0.2857142984867096,0.0,0.0,relu,0.5,0.9,8,30
1,12/11/22-135544,12/11/22-135546,2.0407791137695312,11,0.09203734248876572,0.1071428582072258,0.0,0.0,0.08876727521419525,0.1428571492433548,0.0,0.0,relu,0.01,0.3,8,30
15,12/11/22-135620,12/11/22-135623,2.6991639137268066,22,0.08571683615446091,0.25,0.01785714365541935,1.0,0.08552122116088867,0.1428571492433548,0.0,0.0,relu,0.1,0.9,8,30
16,12/11/22-135623,12/11/22-135625,2.2051100730895996,15,0.08908111602067947,0.1607142835855484,0.0,0.0,0.08733505755662918,0.1428571492433548,0.0,0.0,relu,0.3,0.0,8,30
9,12/11/22-135605,12/11/22-135607,2.2097179889678955,14,0.08921058475971222,0.125,0.0,0.0,0.08776519447565079,0.1428571492433548,0.0,0.0,relu,0.05,0.3,8,30
5,12/11/22-135554,12/11/22-135557,2.3121440410614014,16,0.08987893164157867,0.0892857164144516,0.0,0.0,0.08771920204162598,0.1428571492433548,0.0,0.0,relu,0.03,0.3,8,30
