,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,client_lr,client_momentum,batch_size,epochs
21,12/11/22-183634,12/11/22-183756,82.7370457649231,30,0.051425278186798096,0.6166543364524841,0.4754865765571594,0.7598425149917603,0.05926761403679848,0.5543237328529358,0.4611973464488983,0.6933333277702332,relu,0.5,0.3,8,30
20,12/11/22-183512,12/11/22-183633,81.69384241104126,30,0.05464980751276016,0.5870904326438904,0.4274451732635498,0.7599649429321289,0.05769650638103485,0.5543237328529358,0.4035476744174957,0.7165354490280151,relu,0.5,0.0,8,30
18,12/11/22-183224,12/11/22-183347,83.63140630722046,30,0.04981967806816101,0.6260162591934204,0.487558513879776,0.7785208225250244,0.05877123028039932,0.5454545617103577,0.45011085271835327,0.683501660823822,relu,0.3,0.6,8,30
15,12/11/22-182817,12/11/22-182941,84.43451714515686,30,0.05399845540523529,0.5905395150184631,0.43729981780052185,0.7521186470985413,0.06021890044212341,0.5432372689247131,0.4079822599887848,0.6739926934242249,relu,0.1,0.9,8,30
11,12/11/22-182241,12/11/22-182405,84.37571430206299,30,0.05314666032791138,0.5999014377593994,0.4481399357318878,0.7658947110176086,0.057890385389328,0.5388026833534241,0.4146341383457184,0.7220077514648438,relu,0.05,0.9,8,30
17,12/11/22-183058,12/11/22-183223,85.01807928085327,30,0.05450979992747307,0.5856122374534607,0.41611233353614807,0.7543545961380005,0.061203982681035995,0.534368097782135,0.39246121048927307,0.6996047496795654,relu,0.3,0.3,8,30
22,12/11/22-183757,12/11/22-183920,83.04796385765076,30,0.05605553090572357,0.5710766315460205,0.4166050851345062,0.7410166263580322,0.0620906837284565,0.5299334526062012,0.36807096004486084,0.6720647811889648,relu,0.5,0.6,8,30
7,12/11/22-181703,12/11/22-181827,84.732257604599,30,0.05721288174390793,0.5565410256385803,0.39541760087013245,0.7492997050285339,0.06054599583148956,0.5254988670349121,0.3636363744735718,0.694915235042572,relu,0.03,0.9,8,30
14,12/11/22-182651,12/11/22-182817,85.17156291007996,30,0.06030730530619621,0.5383099317550659,0.35205715894699097,0.7242777347564697,0.06226252764463425,0.5121951103210449,0.37694013118743896,0.6463878154754639,relu,0.1,0.6,8,30
16,12/11/22-182941,12/11/22-183058,76.57465028762817,28,0.06121629476547241,0.5291943550109863,0.33160877227783203,0.7110406756401062,0.0635247454047203,0.5077605247497559,0.3059867024421692,0.6699029207229614,relu,0.3,0.0,8,30
13,12/11/22-182527,12/11/22-182651,83.85394167900085,30,0.06425029039382935,0.49470311403274536,0.28430646657943726,0.7028014659881592,0.06320653855800629,0.4811529815196991,0.29711753129959106,0.7015706896781921,relu,0.1,0.3,8,30
3,12/11/22-181127,12/11/22-181249,82.00997233390808,29,0.06826342642307281,0.4575018584728241,0.2246858775615692,0.6594359874725342,0.06453893333673477,0.4678492248058319,0.24168513715267181,0.7032257914543152,relu,0.01,0.9,8,30
9,12/11/22-181950,12/11/22-182116,85.36165142059326,30,0.07094530761241913,0.4237496852874756,0.1778763234615326,0.642920732498169,0.06580710411071777,0.4678492248058319,0.2195121943950653,0.717391312122345,relu,0.05,0.3,8,30
10,12/11/22-182116,12/11/22-182240,84.43256664276123,30,0.066349558532238,0.4784429669380188,0.25794529914855957,0.681640625,0.06575529277324677,0.4656319320201874,0.2616407871246338,0.6781609058380127,relu,0.05,0.6,8,30
12,12/11/22-182405,12/11/22-182527,81.88651442527771,30,0.0703900009393692,0.4276915490627289,0.190687358379364,0.6559321880340576,0.06589170545339584,0.45676276087760925,0.2261640727519989,0.7083333134651184,relu,0.1,0.0,8,30
8,12/11/22-181828,12/11/22-181950,82.45160126686096,30,0.07595670968294144,0.3734910190105438,0.10889381915330887,0.5893333554267883,0.07048267126083374,0.42793792486190796,0.14855876564979553,0.72826087474823,relu,0.05,0.0,8,30
5,12/11/22-181413,12/11/22-181537,84.67919754981995,30,0.07644011825323105,0.36831730604171753,0.09608277678489685,0.5777778029441833,0.07067559659481049,0.421286016702652,0.13525499403476715,0.726190447807312,relu,0.03,0.3,8,30
6,12/11/22-181538,12/11/22-181702,84.72526812553406,30,0.07382559776306152,0.3961566984653473,0.14437054097652435,0.625400185585022,0.06901843100786209,0.4146341383457184,0.18625277280807495,0.6829268336296082,relu,0.03,0.6,8,30
