,clientID,client_lr,client_mom,batch_size,loss,accuracy
154,2,0.5918367346938775,0.9999999999999999,32,0.0012449569767341,0.994423806667328
156,2,0.5918367346938775,0.9473684210526315,16,0.0009953118860721,0.994423806667328
152,2,1.0,0.9473684210526315,16,0.0011426493292674,0.9938042163848876
153,2,1.0,0.9999999999999999,32,0.0011640897719189,0.9938042163848876
155,2,0.5918367346938775,0.9999999999999999,16,0.0014422049280256,0.9913259148597716
158,2,0.163265306122449,0.9999999999999999,16,0.0017658148426562,0.9913259148597716
159,2,1.0,0.9473684210526315,32,0.0018404040019959,0.9900867342948914
162,2,0.5918367346938775,0.9473684210526315,32,0.0020025533158332,0.9882280230522156
163,2,0.1836734693877551,0.9999999999999999,16,0.0024447983596473,0.986369252204895
168,2,0.12244897959183676,0.9999999999999999,16,0.0021506969351321,0.9845105409622192
