,clientID,client_lr,client_mom,batch_size,loss,accuracy
313,4,1.0,0.631578947368421,16,0.054027009755373,0.5873016119003296
344,4,0.163265306122449,0.9999999999999999,16,0.0557456240057945,0.5765306353569031
334,4,0.5918367346938775,0.631578947368421,16,0.0556273646652698,0.5751133561134338
318,4,0.1836734693877551,0.9473684210526315,16,0.0557157769799232,0.5745464563369751
330,4,0.1836734693877551,0.9999999999999999,16,0.05534029006958,0.5728458166122437
315,4,0.1836734693877551,0.9999999999999999,32,0.0560395680367946,0.5660430788993835
317,4,0.5918367346938775,0.9473684210526315,32,0.0564623773097991,0.5620748400688171
316,4,0.163265306122449,0.9473684210526315,16,0.0568197630345821,0.5589569211006165
320,4,0.12244897959183676,0.9473684210526315,16,0.0569511987268924,0.5569728016853333
312,4,1.0,0.3157894736842105,16,0.0571262761950492,0.5564059019088745
