,clientID,client_lr,client_mom,batch_size,loss,accuracy
399,5,1.0,0.9473684210526315,32,0.0008774490561336,0.994709014892578
393,5,0.5918367346938775,0.9473684210526315,16,0.0010559951188042,0.994179904460907
396,5,1.0,0.9473684210526315,16,0.0010793259134516,0.994179904460907
398,5,0.5918367346938775,0.9473684210526315,32,0.0012627195101231,0.9936507940292358
392,5,0.5918367346938775,0.9999999999999999,32,0.0012136799050495,0.9933862686157228
394,5,1.0,0.9999999999999999,32,0.0010624162387102,0.9931216835975648
395,5,0.1836734693877551,0.9999999999999999,16,0.0016014906577765,0.9923280477523804
407,5,0.1836734693877551,0.9473684210526315,16,0.0012842761352658,0.9923280477523804
397,5,1.0,0.631578947368421,16,0.0017601095605641,0.991269826889038
409,5,0.12244897959183676,0.9999999999999999,16,0.001962769543752,0.988095223903656
