,clientID,client_lr,client_mom,batch_size,loss,accuracy
480,6,0.5918367346938775,0.9473684210526315,32,0.0124313738197088,0.9220778942108154
472,6,0.12244897959183676,0.9999999999999999,16,0.0153622608631849,0.9014778137207032
475,6,0.1836734693877551,0.9473684210526315,16,0.015564689412713,0.8952082395553589
482,6,0.1836734693877551,0.9999999999999999,32,0.018096825107932,0.8817734122276306
483,6,0.163265306122449,0.9999999999999999,16,0.0183862075209617,0.8795342445373535
479,6,1.0,0.631578947368421,16,0.0196825414896011,0.8732646703720093
481,6,0.12244897959183676,0.9999999999999999,32,0.019319700077176,0.8710255026817322
473,6,0.12244897959183676,0.9473684210526315,16,0.0196150355041027,0.8701298832893372
476,6,0.163265306122449,0.9473684210526315,16,0.0203159917145967,0.8652037382125854
477,6,1.0,0.3157894736842105,16,0.0219149440526962,0.8508732914924622
